,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
78,"Ballin' (with Roddy Ricch)",Mustard,4737,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
79,"Never Seen the Rain","Tones And I",4730,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
80,Bruises,"Lewis Capaldi",4724,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
81,"Old Town Road - Remix","Lil Nas X",4624,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
82,Ransom,"Lil Tecca",4624,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
83,Reste,"Maître Gims",4551,https://open.spotify.com/track/3ebaeB2BdCEgZmwKv7p2r5
84,"Vermissen (feat. Henning May)",Juju,4502,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
85,"How Do You Sleep?","Sam Smith",4487,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
86,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",4481,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
87,Stepdad,Eminem,4457,https://open.spotify.com/track/3QVHSV8YKYq4L8tI5rnFgj
88,"Alone, Pt. II","Alan Walker",4417,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
89,Marsh,Eminem,4406,https://open.spotify.com/track/34d7sGX6WUqq8f04e7CSNF
90,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,4403,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
91,"Oui ou non",Angèle,4395,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP
92,"Higher Love",Kygo,4387,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
93,"Never Love Again",Eminem,4329,https://open.spotify.com/track/40YbWniIEmqy6s58fYXLUh
94,"Der Bratan bleibt der gleiche","Capital Bra",4329,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
95,"Que Calor (with J Balvin & El Alfa)","Major Lazer",4321,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
96,Louco,Piruka,4316,https://open.spotify.com/track/5RPewmKIUL2vWtQLI0Qp1F
97,"Lock It Up (feat. Anderson .Paak)",Eminem,4279,https://open.spotify.com/track/1qwMkkRiD5jqLeUUjfgblh
98,Takeaway,"The Chainsmokers",4272,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
99,Tilidin,"Capital Bra",4270,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
100,"Be Honest","Jorja Smith",4269,https://open.spotify.com/track/3IWs9dAwTqN0EFhOIcBDfs
101,"lovely (with Khalid)","Billie Eilish",4222,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
102,"Piece Of Your Heart",MEDUZA,4220,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
103,"HÉ OH",Gambi,4184,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
104,Farewell,Eminem,4182,https://open.spotify.com/track/74gykWHknHDrg4eMdcmdRq
105,Dragovic,Maes,4166,https://open.spotify.com/track/3wSdpAUYB0UuNekEcDdnjN
106,"Turn Me On (feat. Vula)",Riton,4145,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
107,VIBEZ,DaBaby,4144,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
108,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",Eminem,4094,https://open.spotify.com/track/5mZXWEH2eh8zMZGCxT5aW0
109,"Wieso tust Du dir das an?","Apache 207",4070,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
110,"when the party's over","Billie Eilish",4063,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
111,"La vie qu'on mène",Ninho,4056,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
112,Police,Maes,3997,https://open.spotify.com/track/7hrZQ1Z5Cyw9Y8LghrckoZ
113,"Let Me Down Slowly","Alec Benjamin",3972,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
114,Benzo,Elias,3937,https://open.spotify.com/track/2eAtC4umRoDcvRcsyFzGL9
115,"Nur zur Info",Ufo361,3931,https://open.spotify.com/track/6Y7ZEVr7lgO8FKGk2vZ2hi
116,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3913,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
117,"Rescue Me",OneRepublic,3910,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
118,"Alfred - Interlude",Eminem,3867,https://open.spotify.com/track/4EmunTy7kNBYQivOa8F6b8
119,"High Fashion (feat. Mustard)","Roddy Ricch",3848,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
120,Liar,"Camila Cabello",3826,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
121,"Wieder Lila",Samra,3817,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
122,Heartless,"The Weeknd",3814,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
123,Imparfait,Maes,3812,https://open.spotify.com/track/2oA44GF1ypyWTH18HGLXIS
124,"Maman ne le sait pas (feat. Niska)",Ninho,3772,https://open.spotify.com/track/5c2HadbVTsMKjja4gohEFI
125,"Little Engine",Eminem,3737,https://open.spotify.com/track/4qNWEOMyexn7b8Icyk29t9
126,"Don't Call Me Up",Mabel,3724,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
127,"Vor der Tür",Gzuz,3708,https://open.spotify.com/track/2LgsKzO8lCeXk0TMd9veWW
128,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,3695,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
129,"Without Me",Halsey,3679,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
130,Elvira,Maes,3662,https://open.spotify.com/track/3VxDCnNHD1mtXFGFDPqhe4
131,FML,"Arizona Zervas",3652,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf
132,"Keine Liebe",RIN,3626,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX
133,"Ich hol dich ab",Jamule,3622,https://open.spotify.com/track/5NYzvVxuyXiHSqn7PojgKC
134,July,"Noah Cyrus",3621,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
135,"Blue World","Mac Miller",3613,https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5
136,"Avant toi",Vitaa,3609,https://open.spotify.com/track/4iNPp0BZ4lBu7bipdWLcWk
137,COLT,Samra,3551,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
138,"KEIN SCHLAF",Nimo,3547,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
139,"Sweet but Psycho","Ava Max",3544,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
140,"Some Say",Nea,3544,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
