,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
83,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",36509,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
84,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",36030,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
85,"rockstar (feat. 21 Savage)","Post Malone",35978,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
86,"Ja Mann!","Bonez MC",35401,https://open.spotify.com/track/4XHP5B63UsW0GniEx7oMHu
87,"Inshallah (feat. Capital Bra)",Bushido,35359,https://open.spotify.com/track/3nwG4L1J4a8MXq4R01Hilb
88,Moonlight,XXXTENTACION,35320,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
89,"Das erste Mal (feat. 18 Karat)",Kollegah,35255,https://open.spotify.com/track/2oodTJBiwgY3lrZV5W3P1N
90,Primo,"RAF Camora",35020,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
91,"Mo Bamba","Sheck Wes",34936,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
92,"Bella ciao - HUGEL Remix","El Profesor",34778,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb
93,"Merry Christmas Everyone - Remastered","Shakin' Stevens",34749,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB
94,Prominenz,"AK AUSSERKONTROLLE",34549,https://open.spotify.com/track/3w4Y1rJyL55iuKVu0kLXw9
95,"Kennzeichen B-TK","Capital Bra",34495,https://open.spotify.com/track/4kAIdBQEmb1M9ryd9tNSCD
96,FRIENDS,Marshmello,34369,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
97,"Only Thing We Know","Alle Farben",33892,https://open.spotify.com/track/77YLeSEI8unMbZVWNUqioQ
98,"Jackie Chan",Tiësto,33815,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
99,Lean,Nimo,33768,https://open.spotify.com/track/0pepy7gdvtiNBlsT9t4OmT
100,"Love Someone","Lukas Graham",33522,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
101,"Für Euch alle (feat. Samra & Capital Bra)",Bushido,33520,https://open.spotify.com/track/0eKKoqxVuKTQAfzNXlCeCD
102,Copacabana,"Leon Machère",33516,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH
103,"Head Above Water","Avril Lavigne",33345,https://open.spotify.com/track/1N7YeVU0ZwAFbOhwM61ef6
104,"Blah Blah Blah","Armin van Buuren",33178,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
105,"Another One Bites The Dust - Remastered 2011",Queen,33112,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
106,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",32861,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
107,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",32526,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS
108,Mula,Mert,32380,https://open.spotify.com/track/06xtJscJRJBZjTThCy46iq
109,Kompanie,"Bonez MC",32239,https://open.spotify.com/track/6Cy4jkukjKnIqGYkU7xCeF
110,"Taste (feat. Offset)",Tyga,32068,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
111,"Tamam Tamam","Summer Cem",31928,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
112,"Always Remember Us This Way","Lady Gaga",31668,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
113,"INTERNATIONAL GANGSTAS","Farid Bang",31240,https://open.spotify.com/track/4IAVIBh9jbYN30DwpHFMD4
114,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",30711,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
115,"Was du Liebe nennst",Bausa,30566,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
116,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",30532,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
117,IKD,Gringo,30410,https://open.spotify.com/track/5hYHo47VrCuVGSi7Fs6xQ9
118,"Oh Child","Robin Schulz",30361,https://open.spotify.com/track/77VLYTyrdlHEWcjhjQoXlz
119,"Berlin lebt","Capital Bra",30278,https://open.spotify.com/track/1zl1smQ584EZKCfLVeYWNq
120,Penthouse,Eno,30040,https://open.spotify.com/track/1hYr1CRD22M1uHr0aPCEGm
121,"Wann dann","Capital Bra",29968,https://open.spotify.com/track/3LMQL9CSxvUP2m8FeFszP6
122,"Ohne mein Team","Bonez MC",29957,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
123,"I'm a Mess","Bebe Rexha",29808,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
124,"Driving Home for Christmas","Chris Rea",29664,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ
125,Aicha,"Moe Phoenix",29567,https://open.spotify.com/track/5q0zwlgBB0Ub29dw7wcWKc
126,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,29412,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
127,"Say My Name","David Guetta",29339,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
128,"No Stylist (feat. Drake)","French Montana",28950,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
129,"Like I Love You (feat. The NGHBRS)","Lost Frequencies",28737,https://open.spotify.com/track/30K9xVNSog0DVr5ey5yVoY
130,"Change Your Mind",ELI,28730,https://open.spotify.com/track/4kOlyvj9WiPrI4zpmzKAeA
131,Alien,"Bonez MC",28530,https://open.spotify.com/track/2x2rt9LTpn2ofDPWnzRmgV
132,"Toto (feat. RAF Camora)",Noizy,28520,https://open.spotify.com/track/1fyvQWmRbW81M0xXKI1Rrk
133,Einmal,"Mark Forster",28501,https://open.spotify.com/track/4MshU1BZjRZjXtoSpaOJlL
134,"Under Pressure - Remastered",Queen,28418,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
135,Paradies,Ufo361,28110,https://open.spotify.com/track/2kx7rcukcL50UysnBiWJxf
136,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",LEA,28086,https://open.spotify.com/track/5psDugCQ2V8uayDeSuTvdD
137,"Suncity (feat. Empress Of)",Khalid,27883,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
138,100,"Bonez MC",27822,https://open.spotify.com/track/610WYIsrvfJyEXTbtz45Mm
139,"The Middle",Zedd,27700,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
140,Hallelujah,Pentatonix,27568,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
141,"Kiss Me","Rea Garvey",27452,https://open.spotify.com/track/0fMPGhXjm1E1CGKkHRSBro
142,NBA,Jamule,27451,https://open.spotify.com/track/2NZC7fWQxyBhclpC2fi2Sc
143,"Empty Space","James Arthur",27368,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
144,Vagabund,Bausa,27177,https://open.spotify.com/track/3yhaXZury9ZUpfXvdvuWiB
145,"Happy Now",Zedd,26951,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
146,Habibo,Veysel,26909,https://open.spotify.com/track/194IS9NnPN3clG6v3BakTR
147,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",26858,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
148,"Schrei nach Liebe","Die Ärzte",26768,https://open.spotify.com/track/2xHtP2Ia7UDFS8i5IFmCI5
149,"Remind Me to Forget",Kygo,26568,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
150,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",26455,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
151,MDMA,"Bonez MC",26454,https://open.spotify.com/track/2GZclC05PpJPT3JZbFgywD
152,Believer,"Imagine Dragons",26404,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
