,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
92,Business,TOQUEL,2562,https://open.spotify.com/track/3gN3eHqeAp9NSQUAT9xtzg
93,"Iced Out","Billy Sio",2555,https://open.spotify.com/track/3ZnJ4WSPRbinkHAFbsTiNB
94,"Beautiful People (feat. Khalid)","Ed Sheeran",2546,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
95,Skechers,DripReport,2536,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
96,Sandra,TOQUEL,2485,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
97,Stars,TOQUEL,2446,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
98,"Savage Love (Laxed - Siren Beat)","Jawsh 685",2433,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
99,Daisies,"Katy Perry",2422,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
100,"Oh No",SNIK,2416,https://open.spotify.com/track/4bj3XvWwPxRaONwpeTDQLb
101,"This City","Sam Fischer",2402,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
102,"Money In The Grave (Drake ft. Rick Ross)",Drake,2401,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
103,"Colpo Grosso",SNIK,2393,https://open.spotify.com/track/7EjTKUE5HYHIecjIZIYIiW
104,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,2367,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
105,Ransom,"Lil Tecca",2323,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
106,Kilo,SNIK,2302,https://open.spotify.com/track/4ecHU2aezmTqsMtRkwxjbe
107,"Some Say - Felix Jaehn Remix",Nea,2266,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
108,"Deja Vu",Hawk,2259,https://open.spotify.com/track/5A1uS1PcKcMsMG36KgAq1d
109,Highway,SNIK,2253,https://open.spotify.com/track/1lbrmucxyaFko2m90S2NIU
110,"hot girl bummer",blackbear,2214,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
111,"Cruel Summer","DJ Stephan",2213,https://open.spotify.com/track/6redIhhWWej3v8RoJJGu3b
112,"The Bigger Picture","Lil Baby",2192,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
113,"Jocelyn Flores",XXXTENTACION,2192,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
114,SAD!,XXXTENTACION,2174,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
115,Lalala,Y2K,2168,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
116,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2168,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
117,Robbery,"Juice WRLD",2157,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
118,"GO (feat. Juice WRLD)","The Kid LAROI",2149,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
119,"Killa Killa (feat. Aiyana-Lee)",KSI,2147,https://open.spotify.com/track/13Npvj6mfPFQL5DiBKWSIQ
120,"Higher Love",Kygo,2127,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
121,"Don't Call Me Up",Mabel,2123,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
122,"Vgazei Story",Sele,2122,https://open.spotify.com/track/7IqAw0ffDEuOBxImNdInvp
123,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2119,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
124,Netflix,TOQUEL,2109,https://open.spotify.com/track/2JwQnJFhBVjX6XR9d0bq7S
125,"Agapi Mou","Giorgos Papadopoulos",2095,https://open.spotify.com/track/2ac8RPanPncTI6CfWYlTVR
126,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",2085,https://open.spotify.com/track/4CNcRgjGw1v9VQaTaytdnD
127,BOP,DaBaby,2072,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
128,Tusa,"KAROL G",2066,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
129,Medusa,SNIK,2056,https://open.spotify.com/track/5Q02Ux3sh1CyPXtTN7JJ4z
130,Savage,"Megan Thee Stallion",2037,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
131,"rockstar (feat. 21 Savage)","Post Malone",2024,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
132,Moonlight,XXXTENTACION,2004,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
133,"Make It Rain","Pop Smoke",1994,https://open.spotify.com/track/4TgHt7vKCimpywaiKfl0uj
134,"My Oh My (feat. DaBaby)","Camila Cabello",1965,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
135,"Emotionally Scarred","Lil Baby",1963,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
136,Selfish,"Madison Beer",1963,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
137,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1963,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
138,"Piece Of Your Heart",MEDUZA,1950,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
139,Mama?,"Sin Boy",1937,https://open.spotify.com/track/6m69YzoQgEkhPnWIhXswcJ
140,Myron,"Lil Uzi Vert",1933,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
141,Rain,Aitch,1927,https://open.spotify.com/track/7h2ozcUpSL7ulXjRPPQcDy
142,"I See Red","Everybody Loves an Outlaw",1923,https://open.spotify.com/track/2Xau3uNsnIb9FwzsvHR84z
143,"De Me Theloun",Fy,1923,https://open.spotify.com/track/5z8K92vYj0FH6C05HAT2Ve
144,IG,Slogan,1920,https://open.spotify.com/track/4ymFaT7dHSJ7i1MwIsoP9o
145,Shallow,"Lady Gaga",1899,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
146,"In Your Eyes (feat. Alida)","Robin Schulz",1898,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
147,Motto,MG,1877,https://open.spotify.com/track/1Dg4K5rscxqz6LyMDGMuED
148,Falling,"Harry Styles",1872,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
149,Mosca,Light,1856,https://open.spotify.com/track/3rwuYQM6eEqTLWapNYAeZD
150,"7 rings","Ariana Grande",1845,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
151,"'Till I Collapse",Eminem,1845,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
152,Righteous,"Juice WRLD",1823,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
153,"Houdini (feat. Swarmz & Tion Wayne)",KSI,1820,https://open.spotify.com/track/0znWS8K0AI1PrG7IBpllt8
154,"IDK You Yet","Alexander 23",1819,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
155,Salt,"Ava Max",1807,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
156,"Shotta Flow 5","NLE Choppa",1806,https://open.spotify.com/track/1orjH4IkSH9VrWmRCToKV8
157,"Never Really Over","Katy Perry",1802,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
158,"Without Me",Halsey,1793,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
159,PTSD,SNIK,1790,https://open.spotify.com/track/3sHPvvBwEDwg5kaDoIMy87
160,Magic,Light,1783,https://open.spotify.com/track/65kd9dKyEn6zC8DJhYKWfi
161,Gigi,Rina,1780,https://open.spotify.com/track/2ySWuhmNR789tk5AN2EUc3
162,Takeaway,"The Chainsmokers",1773,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
163,Aroma,Fy,1765,https://open.spotify.com/track/4ewhPnjVBPYE5Mgc55dJ39
164,"Alaxe Ta Ola","Giorgos Sabanis",1764,https://open.spotify.com/track/7FmkhXVPiLi2FmugNkkK1M
165,F.N,"Lil Tjay",1761,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
166,"Gangsta's Paradise",Coolio,1750,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
167,"BIG MAN",SNIK,1748,https://open.spotify.com/track/7qd01xrME77eyWqGPumC2J
168,"Yo Perreo Sola","Bad Bunny",1747,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
169,Montecristo,"Mad Clip",1731,https://open.spotify.com/track/0g3fKXiX2AANAX3k6FnKib
170,"Ballin' (with Roddy Ricch)",Mustard,1727,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
171,"Tommy Lee (feat. Post Malone)","Tyla Yaweh",1722,https://open.spotify.com/track/5QZKcQDp0tCcvMdyqEciBV
172,"In the End","Linkin Park",1717,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
173,Control,"Zoe Wees",1702,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
174,"BUTTERFLY EFFECT","Travis Scott",1695,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
175,"MIDDLE CHILD","J. Cole",1688,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
176,"Go Crazy","Chris Brown",1685,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
177,"Look At Me!",XXXTENTACION,1680,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
178,"Angels & Demons",jxdn,1679,https://open.spotify.com/track/4GUj9MfPPkjpZskxb45uiX
179,"The London (feat. J. Cole & Travis Scott)","Young Thug",1677,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
180,"Devil Eyes","Hippie Sabotage",1674,https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
181,"Cuba Libre","Mente Fuerte",1667,https://open.spotify.com/track/5yJkVWNDz5sWCHKskwJphc
182,P2,"Lil Uzi Vert",1661,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
183,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,1658,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
184,"Agria Thalassa","Giorgos Sabanis",1658,https://open.spotify.com/track/0hAdCOO7fI75HmGSXcK3wM
185,РАТАТАТАТА,MORGENSHTERN,1657,https://open.spotify.com/track/0eou4g499YFO8jSxYQjvFH
186,"If I Can't Have You","Shawn Mendes",1647,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
187,"Lights Up","Harry Styles",1647,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
188,Believer,"Imagine Dragons",1645,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
189,"Just Like Me",Fy,1640,https://open.spotify.com/track/7BBgzZ4jC658I2jONXYZGV
190,"Old Town Road - Remix","Lil Nas X",1639,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
191,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",1635,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
192,"Let Me Down Slowly","Alec Benjamin",1633,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
193,Happier,Marshmello,1631,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
194,"when the party's over","Billie Eilish",1630,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
195,"10,000 Hours (with Justin Bieber)","Dan + Shay",1624,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
196,"Dancing With A Stranger (with Normani)","Sam Smith",1620,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
197,Dianikterevo,"Giorgos Mazonakis",1607,https://open.spotify.com/track/6Dit1erL7lMDu8Y2E8aUnR
198,"Solitaires (feat. Travis Scott)",Future,1605,https://open.spotify.com/track/4kfeRwpq5KUaqTkgi4TbDF
199,"Like It Is",Kygo,1603,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
200,"The Take (feat. Chris Brown)","Tory Lanez",1603,https://open.spotify.com/track/0Odu228D0yGcFySGuxU4rY
