,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
117,"Baby (Lil Baby feat. DaBaby)","Quality Control",12586,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
118,Addicted,SICKOTOY,12458,https://open.spotify.com/track/3ryL0rcJEBpS9hybIoxWMc
119,"Ride It",Regard,12454,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
120,2002,Anne-Marie,12339,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
121,"Panini - DaBaby Remix","Lil Nas X",12325,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
122,"Scuze Mama",Ian,12288,https://open.spotify.com/track/7GRFqzQPAuAUN5Hy2uD82w
123,"Love Me","Lil Tecca",12254,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
124,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,12182,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
125,Rechinii,Aerozen,12056,https://open.spotify.com/track/3iLw14gPgbd3AMggqs4AdD
126,"Post Malone (feat. RANI)","Sam Feldt",12008,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
127,"Am Visat Ca Schimbam Lumea",Deliric,11996,https://open.spotify.com/track/0H9kpmcgLPE5f1bVB076zF
128,"All Around The World (La La La)",R3HAB,11979,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
129,"wish you were gay","Billie Eilish",11978,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
130,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",11972,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
131,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",11970,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
132,Player,Ian,11963,https://open.spotify.com/track/7x0UdBzgDqtFCLfD5jzL34
133,Ramai,Delia,11962,https://open.spotify.com/track/1SKoHXqVNiibNnr3Otg5LU
134,"Here With Me",Marshmello,11944,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
135,"thank u, next","Ariana Grande",11943,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
136,Balenciaga,"Lino Golden",11931,https://open.spotify.com/track/6t72qlEOIZuuPn6XWju7Rj
137,Palmat,Ian,11918,https://open.spotify.com/track/5RvhKm3Xr456CGMQ5wyJZ5
138,VALENTINO,24kGoldn,11861,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
139,"I Warned Myself","Charlie Puth",11836,https://open.spotify.com/track/3707IBa4HnS3zDDoWfeUBl
140,Tacsu,"Marko Glass",11806,https://open.spotify.com/track/3K1VMhVAbP5LyyLMwDOJ7P
141,"Que Calor (with J Balvin & El Alfa)","Major Lazer",11683,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
142,"Con Altura",ROSALÍA,11674,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
143,Allergic,"Post Malone",11639,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
144,"Go Loko (feat. Tyga, Jon Z)",YG,11607,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
145,Mambo,"Killa Fonic",11597,https://open.spotify.com/track/2uJ5kSTyWMWaZU4IYpl6sB
146,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",11596,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
147,Biznis,Ian,11572,https://open.spotify.com/track/1DkHaKIMkbcdUg6XX9MVcy
148,I.F.L.Y.,Bazzi,11553,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
149,"'Till I Collapse",Eminem,11533,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
150,"Jocelyn Flores",XXXTENTACION,11471,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
151,"Staring At The Sun (feat. SZA)","Post Malone",11446,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
152,"Bohemian Rhapsody - 2011 Mix",Queen,11421,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
153,"Did It Again","Lil Tecca",11400,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
154,"Mother's Daughter","Miley Cyrus",11262,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
155,"High Hopes","Panic! At The Disco",11253,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
156,Frate-Miu,Nane,11220,https://open.spotify.com/track/1sP2znLfTviNBiPcRBqVer
157,"Xanny - Remix","Marko Glass",11199,https://open.spotify.com/track/4oMPZbzG1dK2UltYojsKu8
158,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",11176,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
159,"i love you","Billie Eilish",11155,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
160,"So Am I","Ava Max",11094,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
161,"Inainte Sa Ne Fi Nascut - Dirty Nano Remix","The Motans",11063,https://open.spotify.com/track/3Y8J7sUr0dB6LtBHBjgva8
162,HUMBLE.,"Kendrick Lamar",11037,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
163,"Never Really Over","Katy Perry",10946,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
164,"Con Calma","Daddy Yankee",10849,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
165,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",10847,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
166,"Ric Flair Drip (& Metro Boomin)",Offset,10838,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
167,"One Thing Right",Marshmello,10833,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
168,"MIDDLE CHILD","J. Cole",10829,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
169,"Mood Swings","A Boogie Wit da Hoodie",10803,https://open.spotify.com/track/2xE16muNCmhZwSOv3i1d1H
170,idontwannabeyouanymore,"Billie Eilish",10787,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
171,"With You","Jay Sean",10751,https://open.spotify.com/track/1lnPygfVghWoKJAxaStV98
