,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
103,"Don’t Matter To Me (with Michael Jackson)",Drake,3782,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
104,"Get Dripped (feat. Playboi Carti)","Lil Yachty",3715,https://open.spotify.com/track/3m2aDCqn8eT5ElXDUiboGU
105,"Are You Ready",Disturbed,3714,https://open.spotify.com/track/4zvqMZ6g4wKZaPpOQvoBpP
106,"Look Alive (feat. Drake)","BlocBoy JB",3700,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
107,"The Middle",Zedd,3684,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
108,Хайвера,SkandaU,3668,https://open.spotify.com/track/1Bts7SCDa2CAcCU7CVcFhW
109,APESHIT,"The Carters",3653,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
110,1999,"Charli XCX",3644,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8
111,"Call Out My Name","The Weeknd",3623,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
112,RISE,"League of Legends",3616,https://open.spotify.com/track/69Sy7207dnixZ6w7RSV9Kb
113,"Sin (feat. Jaden Smith)","Young Thug",3587,https://open.spotify.com/track/1Jl21sidRpEdlVBvYbssLx
114,YOSEMITE,"Travis Scott",3571,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
115,"Stepping Stone",Eminem,3563,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
116,"Love Someone","Lukas Graham",3546,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
117,"New Patek","Lil Uzi Vert",3528,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
118,"Leave Me Alone","Flipp Dinero",3515,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
119,Rise,"Jonas Blue",3513,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
120,Starboy,"The Weeknd",3505,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
121,Kalinka,Morandi,3492,https://open.spotify.com/track/0IN0ekbAcZ2FpnxBFYgmEb
122,"Look At Me!",XXXTENTACION,3475,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
123,Polaroid,"Jonas Blue",3457,https://open.spotify.com/track/1wsLHgXJ4SKIfd5ePSX1hD
124,"REEL IT IN",Aminé,3437,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
125,Money,"Cardi B",3426,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
126,Катран,Лъчо,3418,https://open.spotify.com/track/0lrwDj4eSceHCAmz0tQVRN
127,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,3412,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
128,"BIGGEST ALLEY OOP",Quavo,3407,https://open.spotify.com/track/6Q36XucqrejMId3RydVhch
129,"Ocean (feat. Khalid)","Martin Garrix",3403,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
130,"Transformer (feat. Nicki Minaj)",Future,3378,https://open.spotify.com/track/2MfcvcvWSUkstTDZXYIakq
131,"Consequences - orchestra","Camila Cabello",3370,https://open.spotify.com/track/1ArLnG0bHaHPXqf08sEKM0
132,"Body (feat. brando)","Loud Luxury",3367,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
133,Normal,Eminem,3352,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
134,Unforgettable,"French Montana",3338,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
135,goosebumps,"Travis Scott",3323,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
136,"Head Above Water","Avril Lavigne",3303,https://open.spotify.com/track/1N7YeVU0ZwAFbOhwM61ef6
137,"No More",Disturbed,3300,https://open.spotify.com/track/0IdNBZt0O8R9qBgezYFGOi
138,"you should see me in a crown","Billie Eilish",3299,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
139,"River (feat. Ed Sheeran)",Eminem,3272,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s
140,"Hard Work Pays Off",Future,3261,https://open.spotify.com/track/6gzIcEUuswJQGfJNPYMjjv
141,"XO Tour Llif3","Lil Uzi Vert",3258,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
142,changes,XXXTENTACION,3255,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
143,"Psycho (feat. Ty Dolla $ign)","Post Malone",3254,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
