,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
95,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",127321,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
96,"Better Now","Post Malone",127150,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
97,Shotgun,"George Ezra",126325,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
98,"Su Casa",KESI,125779,https://open.spotify.com/track/4yF9erb9bMUIRXr6QdPgP4
99,SAD!,XXXTENTACION,125192,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
100,"Christmas Time","Backstreet Boys",124610,https://open.spotify.com/track/5x37oQPX5730aqxlvXT2qa
101,"Lille Messias","Anne Linnet",123025,https://open.spotify.com/track/0CKnzuE58ooenjDtw8fxnI
102,"KICK (feat. 6ix9ine)",Jimilian,121039,https://open.spotify.com/track/3nkA1BXQFsT1rP2rNzufhh
103,"Taste (feat. Offset)",Tyga,119572,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
104,"Mo Bamba","Sheck Wes",119410,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
105,"Stjæle Eller Eje (feat. Gilli & Toko)",AWADA,117994,https://open.spotify.com/track/3rsu8Ay1iJv58pyC65N2Xu
106,"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani",117802,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ
107,"Jul i Valhal","Martin Brygmann",117387,https://open.spotify.com/track/2sYa8IysQXY2F1NiLTqj2Y
108,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",116703,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
109,"Holly Jolly Christmas","Michael Bublé",115606,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
110,"Vi lover hinanden","Sanne Salomonsen",115209,https://open.spotify.com/track/0vHFLAbbWuONECX3WCeXk1
111,"Falling Down - Bonus Track","Lil Peep",114227,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
112,Tidsrejsen,"Caroline Castell",113756,https://open.spotify.com/track/5jl2ASpLH6ch4vkD4xcpyq
113,"The Christmas Song (Chestnuts Roasting On An Open Fire)","Justin Bieber",113581,https://open.spotify.com/track/3eYnKe0LhQA1B5HEkQaRTP
114,"Vil Du Være Min I Nat","Caroline Henderson",113493,https://open.spotify.com/track/3yt2wA5DdscvjJLhEjUwpI
115,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",113484,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
116,"lovely (with Khalid)","Billie Eilish",111686,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
117,"Chopper Tale (feat. Branco & Gilli)",ATYPISK,111365,https://open.spotify.com/track/6vOwDZnFovhiJiQEgiePTE
118,"Kom Over",KESI,109283,https://open.spotify.com/track/6Lu7LCf7t7V6X7i4NQywcT
119,WAKA,6ix9ine,109234,https://open.spotify.com/track/6o79O9qBP3OAkWOXajAQIS
120,"The Christmas Song (Merry Christmas To You)","Nat King Cole",107445,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
121,"Blah Blah Blah","Armin van Buuren",107077,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
122,"This Christmas","Christina Aguilera",106838,https://open.spotify.com/track/32h59T8q2SonUPJ006lyXt
123,"Saturday Nights",Khalid,106793,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
124,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",104904,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
125,"Woman Like Me (feat. Nicki Minaj)","Little Mix",104784,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
126,Shallow,"Lady Gaga",104014,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
127,1999,"Charli XCX",103756,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8
128,"I Love It (& Lil Pump)","Kanye West",103485,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
129,"Tjep (feat. Kesi)","Benny Jamz",103153,https://open.spotify.com/track/6Xc6N2ptIEj8z77KDLlj9g
