,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
152,sweetener,"Ariana Grande",30745,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
153,Sober,"Demi Lovato",30709,https://open.spotify.com/track/0STK94RxUulYqWzwFlyAb5
154,Radioactive,"Imagine Dragons",30540,https://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp
155,"Mag Het ff Lekker Gaan","Sevn Alias",30479,https://open.spotify.com/track/4Lr20YfLsncv5fTSlbWrkV
156,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",30412,https://open.spotify.com/track/7CUYHcu0RnbOnMz4RuN07w
157,"Dusk Till Dawn - Radio Edit",ZAYN,30202,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
158,"What Lovers Do (feat. SZA)","Maroon 5",30181,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
159,"I Miss You (feat. Julia Michaels)","Clean Bandit",30133,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
160,"Ramenez la coupe à la maison",Vegedream,30107,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
161,"Thinking out Loud","Ed Sheeran",30042,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
162,Loco,"Yung Felix",30014,https://open.spotify.com/track/0DCxNJg7yquzAHORClrP3e
163,Riptide,"Vance Joy",29971,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
164,"Hit Sale (feat. Roméo Elvis)","Therapie TAXI",29914,https://open.spotify.com/track/3yndKI4zWEyC36BQYrdKBA
165,Connection,OneRepublic,29845,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
166,"Billie Jean","Michael Jackson",29699,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
167,IDOL,BTS,29536,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
168,"Quarter Past Midnight",Bastille,29434,https://open.spotify.com/track/1etiUDkISHELzQGMY79ryt
