,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
155,"Feels Like Summer","Childish Gambino",3572,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
156,FRIENDS,Marshmello,3572,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
157,Africa,TOTO,3554,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
158,"Take Me to Church",Hozier,3537,https://open.spotify.com/track/3KYOGt8IO6j8wptkG9THag
159,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",3532,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
160,"La Cintura","Alvaro Soler",3519,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
161,"All The Stars (with SZA)","Kendrick Lamar",3507,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
162,"Love Lies (with Normani)",Khalid,3488,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
163,"All I Am","Jess Glynne",3484,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV
164,"Thru These Tears",LANY,3480,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
165,"The Middle",Zedd,3475,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
166,Noticed,"Lil Mosey",3475,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
167,"Nephew (feat. Lil Pump)",Smokepurpp,3469,https://open.spotify.com/track/0ibOcbkp2XG46Do8jcy0bL
168,"Dancing Alone","Axwell /\ Ingrosso",3455,https://open.spotify.com/track/5xzzxWj8a1YBbNZhNLqWuQ
169,Võitmatu,"Uudo Sepp",3447,https://open.spotify.com/track/6FjMNJt8pTvzhGkdNskDrX
170,Connection,OneRepublic,3440,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
171,Familiar,"Liam Payne",3429,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
172,"ocean eyes","Billie Eilish",3412,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
173,Jumpsuit,"Twenty One Pilots",3395,https://open.spotify.com/track/6cQnrSlTxhHCCiUpKrs7g3
174,Plum,"Troye Sivan",3391,https://open.spotify.com/track/4FtGhkcEHma8WjuzFYSr2o
175,"I'm Yours","Jason Mraz",3378,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
176,Unforgettable,"French Montana",3378,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
177,"Jennifer Lawrence",NOËP,3346,https://open.spotify.com/track/6jS6CLTwblEraUmVza7XL8
