,country,date,stringency
356,ESP,2020-01-14,0.0
357,DNK,2020-01-14,0.0
358,DEU,2020-01-14,0.0
359,CZE,2020-01-14,0.0
360,BEL,2020-01-14,0.0
361,AUT,2020-01-14,0.0
362,SVN,2020-01-14,0.0
363,SVK,2020-01-14,0.0
364,PRT,2020-01-14,0.0
365,POL,2020-01-14,0.0
366,LVA,2020-01-14,0.0
367,HUN,2020-01-14,0.0
368,CYP,2020-01-14,0.0
369,BGR,2020-01-14,0.0
370,LUX,2020-01-14,0.0
371,LTU,2020-01-14,0.0
372,ITA,2020-01-14,0.0
373,IRL,2020-01-14,0.0
374,HRV,2020-01-14,0.0
375,GRC,2020-01-14,0.0
376,GBR,2020-01-14,0.0
377,FRA,2020-01-14,0.0
378,NLD,2020-01-15,0.0
379,ROU,2020-01-15,0.0
380,SWE,2020-01-15,0.0
381,AUT,2020-01-15,0.0
382,BEL,2020-01-15,0.0
383,CZE,2020-01-15,0.0
384,DEU,2020-01-15,0.0
385,DNK,2020-01-15,0.0
386,ESP,2020-01-15,0.0
387,EST,2020-01-15,0.0
388,FIN,2020-01-15,0.0
389,BGR,2020-01-15,0.0
390,CYP,2020-01-15,0.0
391,HUN,2020-01-15,0.0
392,LVA,2020-01-15,0.0
393,POL,2020-01-15,0.0
394,PRT,2020-01-15,0.0
395,SVK,2020-01-15,0.0
396,SVN,2020-01-15,0.0
397,FRA,2020-01-15,0.0
398,GBR,2020-01-15,0.0
399,GRC,2020-01-15,0.0
400,HRV,2020-01-15,0.0
401,IRL,2020-01-15,0.0
402,ITA,2020-01-15,0.0
403,LTU,2020-01-15,0.0
404,LUX,2020-01-15,0.0
405,SWE,2020-01-16,0.0
406,ROU,2020-01-16,0.0
407,NLD,2020-01-16,0.0
408,FIN,2020-01-16,0.0
409,EST,2020-01-16,0.0
410,ESP,2020-01-16,0.0
411,DNK,2020-01-16,0.0
412,DEU,2020-01-16,0.0
413,CZE,2020-01-16,0.0
414,BEL,2020-01-16,0.0
415,AUT,2020-01-16,0.0
416,SVN,2020-01-16,0.0
417,SVK,2020-01-16,0.0
418,PRT,2020-01-16,0.0
419,POL,2020-01-16,0.0
420,LVA,2020-01-16,0.0
421,HUN,2020-01-16,0.0
422,CYP,2020-01-16,0.0
423,BGR,2020-01-16,0.0
424,LUX,2020-01-16,0.0
425,LTU,2020-01-16,0.0
426,ITA,2020-01-16,0.0
427,IRL,2020-01-16,0.0
428,HRV,2020-01-16,0.0
429,GRC,2020-01-16,0.0
430,GBR,2020-01-16,0.0
431,FRA,2020-01-16,0.0
432,NLD,2020-01-17,0.0
433,ROU,2020-01-17,0.0
434,SWE,2020-01-17,0.0
435,AUT,2020-01-17,0.0
436,BEL,2020-01-17,0.0
437,CZE,2020-01-17,0.0
438,DEU,2020-01-17,0.0
439,DNK,2020-01-17,0.0
440,ESP,2020-01-17,0.0
441,EST,2020-01-17,0.0
442,FIN,2020-01-17,0.0
443,BGR,2020-01-17,0.0
444,CYP,2020-01-17,0.0
445,HUN,2020-01-17,0.0
446,LVA,2020-01-17,0.0
447,POL,2020-01-17,0.0
448,PRT,2020-01-17,0.0
449,SVK,2020-01-17,0.0
450,SVN,2020-01-17,0.0
451,FRA,2020-01-17,0.0
452,GBR,2020-01-17,0.0
453,GRC,2020-01-17,0.0
454,HRV,2020-01-17,0.0
455,IRL,2020-01-17,0.0
456,ITA,2020-01-17,0.0
457,LTU,2020-01-17,0.0
458,LUX,2020-01-17,0.0
459,SWE,2020-01-18,0.0
460,ROU,2020-01-18,0.0
461,NLD,2020-01-18,0.0
462,FIN,2020-01-18,0.0
463,EST,2020-01-18,0.0
464,ESP,2020-01-18,0.0
465,DNK,2020-01-18,0.0
466,DEU,2020-01-18,0.0
467,CZE,2020-01-18,0.0
468,BEL,2020-01-18,0.0
469,AUT,2020-01-18,0.0
470,SVN,2020-01-18,0.0
471,SVK,2020-01-18,0.0
472,PRT,2020-01-18,0.0
473,POL,2020-01-18,0.0
474,LVA,2020-01-18,0.0
475,HUN,2020-01-18,0.0
476,CYP,2020-01-18,0.0
477,BGR,2020-01-18,0.0
478,LUX,2020-01-18,0.0
479,LTU,2020-01-18,0.0
480,ITA,2020-01-18,0.0
481,IRL,2020-01-18,0.0
482,HRV,2020-01-18,0.0
483,GRC,2020-01-18,0.0
484,GBR,2020-01-18,0.0
485,FRA,2020-01-18,0.0
486,NLD,2020-01-19,0.0
487,ROU,2020-01-19,0.0
488,SWE,2020-01-19,0.0
489,AUT,2020-01-19,0.0
490,BEL,2020-01-19,0.0
491,CZE,2020-01-19,0.0
492,DEU,2020-01-19,0.0
493,DNK,2020-01-19,0.0
494,ESP,2020-01-19,0.0
495,EST,2020-01-19,0.0
496,FIN,2020-01-19,0.0
497,BGR,2020-01-19,0.0
498,CYP,2020-01-19,0.0
499,HUN,2020-01-19,0.0
500,LVA,2020-01-19,0.0
501,POL,2020-01-19,0.0
502,PRT,2020-01-19,0.0
503,SVK,2020-01-19,0.0
504,SVN,2020-01-19,0.0
505,FRA,2020-01-19,0.0
506,GBR,2020-01-19,0.0
507,GRC,2020-01-19,0.0
508,HRV,2020-01-19,0.0
509,IRL,2020-01-19,0.0
510,ITA,2020-01-19,0.0
511,LTU,2020-01-19,0.0
512,LUX,2020-01-19,0.0
513,SWE,2020-01-20,0.0
514,ROU,2020-01-20,0.0
515,NLD,2020-01-20,0.0
516,FIN,2020-01-20,0.0
517,EST,2020-01-20,0.0
518,ESP,2020-01-20,0.0
519,DNK,2020-01-20,0.0
520,DEU,2020-01-20,0.0
521,CZE,2020-01-20,0.0
522,BEL,2020-01-20,0.0
523,AUT,2020-01-20,0.0
