,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
83,"God is a woman","Ariana Grande",43309,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
84,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,42965,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
85,"Não Tens Visto","Wet Bed Gang",42875,https://open.spotify.com/track/3WzINtpiKu6mwJu8ax7EdC
86,Aleluia,"Wet Bed Gang",42831,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
87,"Promises (with Sam Smith)","Calvin Harris",42794,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
88,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",42513,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
89,"Mo Boy",Dillaz,42134,https://open.spotify.com/track/0A3b3cu2JPBUTGC6qJEqUy
90,"O Sol","Vitor Kley",41823,https://open.spotify.com/track/4lvGHfDuzfv9uDTHMrRMiH
91,"Dona Maria","Thiago Brava",41331,https://open.spotify.com/track/0dGqIEsFN3KakdPCMkgjre
92,"One Kiss (with Dua Lipa)","Calvin Harris",41312,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
93,"Say My Name","David Guetta",40151,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
94,"Dr. Bayard","Mike El Nite",39942,https://open.spotify.com/track/49MYvTRqv7qelZFZhVcEGa
95,"Solo (feat. Demi Lovato)","Clean Bandit",39918,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
96,BEBE,6ix9ine,39582,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
97,"Kiss and Make Up","Dua Lipa",39459,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
98,"come out and play","Billie Eilish",38953,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
99,"I Love It (& Lil Pump)","Kanye West",37975,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
100,"O Clima",Lhast,37727,https://open.spotify.com/track/2KTw4vRM6mdBzMlVkInvSS
101,"Rockin' Around The Christmas Tree","Brenda Lee",37694,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
102,"I don’t let go",XXXTENTACION,37545,https://open.spotify.com/track/4axYWgXASdsCBHuwInAubT
103,"Faz Gostoso",Blaya,37491,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
104,"High Hopes","Panic! At The Disco",37359,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
105,Djadja,"Aya Nakamura",37104,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
106,"It's the Most Wonderful Time of the Year","Andy Williams",36944,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
107,"Vingança - Ao Vivo","Luan Santana",36416,https://open.spotify.com/track/7KdcbYcVF8LkQeQcTYOixJ
108,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",36199,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
109,breathin,"Ariana Grande",35961,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
110,Believer,"Imagine Dragons",35659,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
111,"Everybody Dies In Their Nightmares",XXXTENTACION,35299,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
112,"Sweet but Psycho","Ava Max",35071,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
113,"Prova dos 9",Piruka,34895,https://open.spotify.com/track/7JSvz1VaPKZzQ0gRJkW95x
114,"Adan y Eva","Paulo Londra",34839,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
115,"Happy Now",Kygo,34633,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
116,"One Minute (feat. Kanye West & Travis Barker)",XXXTENTACION,34518,https://open.spotify.com/track/0T6RSXxFhW8dRTWHI604ld
117,Mistletoe,"Justin Bieber",34416,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
118,"what are you so afraid of",XXXTENTACION,34235,https://open.spotify.com/track/57nOpVSc3j9o03Cr928ZM4
119,"Wake Up in the Sky","Gucci Mane",34193,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
120,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",33789,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
121,"Suncity (feat. Empress Of)",Khalid,33717,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
122,"New Light","John Mayer",33605,https://open.spotify.com/track/40FLJc17FMZaPmCQEEZgB0
123,"I Like It","Cardi B",33581,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
124,"Tempo Antigo","Apollo G",33559,https://open.spotify.com/track/7oroVaobo7Yekgq2jxuYeU
125,"Another One Bites The Dust - Remastered 2011",Queen,33287,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
126,"Train food",XXXTENTACION,32328,https://open.spotify.com/track/5lar0mCUejpILVkAz50s2J
127,bellyache,"Billie Eilish",32248,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
128,"no tears left to cry","Ariana Grande",32207,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
129,IDGAF,"Dua Lipa",32072,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
