,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
96,"Tulkoon joulu","Mikko Harju",75913,https://open.spotify.com/track/2IUtAp2xWR0JXxiJD29QPG
97,"Mitä Mä Malagas?",Gasellit,75713,https://open.spotify.com/track/4Q1ixIPlK5hR16qZgRNKcN
98,"Rockin' Around The Christmas Tree","Brenda Lee",75481,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
99,"Jingle Bell Rock","The Vamps",75315,https://open.spotify.com/track/2gO3wgR2G9pCJFWGcWX3W7
100,"I'll Be Home for Christmas","Michael Bublé",74701,https://open.spotify.com/track/0tXPhc8LvM4dPvoRwI66XQ
101,"Tule meille jouluksi","Jenni Vartiainen",73458,https://open.spotify.com/track/4WfcvoGZvyUysZBiO7DtAP
102,Moonlight,XXXTENTACION,73333,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
103,"Jocelyn Flores",XXXTENTACION,73020,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
104,"Tyhjää (feat. Jenna Alexa)",Juno,72688,https://open.spotify.com/track/3O8wREdosF8kHyd6KgUpEj
105,Natural,"Imagine Dragons",71970,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
106,Valoo,Kasmir,71428,https://open.spotify.com/track/0a4gZac0HfpUPcPID1PaUn
107,"Made in Heaven","Jenni Vartiainen",71418,https://open.spotify.com/track/5V7QO5EdUB91ksf7FgBcCc
108,"MIA (feat. Drake)","Bad Bunny",71362,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
109,"Forever Young",Kymppilinja,71044,https://open.spotify.com/track/5sw9LwMMgb8Y2RwQdwTXVT
110,Nössö,"Petri Nygård",70852,https://open.spotify.com/track/0gySKxqIOHTVD3YObTsJug
111,Skibidi,"Little Big",70681,https://open.spotify.com/track/4F4TGsDYacEbw4PLAIyJ2e
112,"Driving Home for Christmas","Chris Rea",70664,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ
113,"Rikkinäinen Prinsessa","Nikke Ankara",70410,https://open.spotify.com/track/5eKpOnlRJC70PfzunR3UWO
114,Toivon,costee,69926,https://open.spotify.com/track/6oDaoVLBj6eMxTUqNJJ7PW
