,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
99,BEBE,6ix9ine,8531,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
100,"Shape of You","Ed Sheeran",8400,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
101,HUMBLE.,"Kendrick Lamar",8394,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
102,"If I'm Lyin, I'm Flyin","Kodak Black",8279,https://open.spotify.com/track/2uMTscYuCT3BZ0OCzH3MwN
103,"Look At Me!",XXXTENTACION,8266,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
104,"Nice For What",Drake,8253,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
105,"Can't Be Broken","Lil Wayne",8102,https://open.spotify.com/track/5cGpjfgAvidLy6znwkCxkP
106,"Love Lies (with Normani)",Khalid,8093,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
107,Fuego,"Eleni Foureira",8092,https://open.spotify.com/track/4TwWOcvjY1qt3QJvtveAGm
108,RISE,"League of Legends",7923,https://open.spotify.com/track/69Sy7207dnixZ6w7RSV9Kb
109,"Ocean (feat. Khalid)","Martin Garrix",7737,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
110,"Wu Tang Forever (ft. Ghostface Killah, Raekwon, RZA, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, U-God, Masta Killa, GZA)",Logic,7713,https://open.spotify.com/track/6VDz4m1vEGHDDqQojf1mpc
111,"Sweet but Psycho","Ava Max",7691,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
112,"8 Letters","Why Don't We",7681,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
113,Apohoro,"Konstantinos Argiros",7545,https://open.spotify.com/track/5me9xsOZcZohqWntV0sTCE
114,Unforgettable,"French Montana",7485,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
115,"River (feat. Ed Sheeran)",Eminem,7482,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s
116,Shotgun,"George Ezra",7477,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
117,"Stepping Stone",Eminem,7472,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
118,"S' Eho Xeperasei","Konstantinos Argiros",7444,https://open.spotify.com/track/4hxa3H1Rrvo26m7tvg3iNW
119,"Creep On Me",GASHI,7439,https://open.spotify.com/track/1MUL6DO2gVimj2YrVedubd
120,"Love No More","Loud Luxury",7337,https://open.spotify.com/track/15fZrZhdK0g1BS9sDeW6sD
121,YOSEMITE,"Travis Scott",7336,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
122,"'Till I Collapse",Eminem,7335,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
123,"Dip (feat. Nicki Minaj)",Tyga,7324,https://open.spotify.com/track/2qfR91VvO7hRp4IajDT08h
124,"Self Care","Mac Miller",7272,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
125,SWISH,Tyga,7219,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
126,"No Limit",G-Eazy,7160,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
127,"XO Tour Llif3","Lil Uzi Vert",7124,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
128,"What Lovers Do (feat. SZA)","Maroon 5",7117,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
129,Normal,Eminem,7085,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
130,"Drew Barrymore","Bryce Vine",7078,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
131,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,7025,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
132,Trip,"Ella Mai",6971,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa
133,"WORKIN ME",Quavo,6918,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
134,goosebumps,"Travis Scott",6913,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
135,"Vaina Loca",Ozuna,6902,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
136,"Too Good At Goodbyes","Sam Smith",6866,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
137,sweetener,"Ariana Grande",6840,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
138,"Dusk Till Dawn - Radio Edit",ZAYN,6831,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
139,"Mob Ties",Drake,6802,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
140,Psemata,"Konstantinos Argiros",6793,https://open.spotify.com/track/6mRzZi26SNQ3jBhBtNm1j7
141,"Feel It Still","Portugal. The Man",6791,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
142,"Happy Now",Zedd,6754,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
143,"In My Blood","Shawn Mendes",6716,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
144,"All I Am","Jess Glynne",6667,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV
145,"Everybody Dies In Their Nightmares",XXXTENTACION,6637,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
146,Chun-Li,"Nicki Minaj",6630,https://open.spotify.com/track/1e4rwBPVI32vZtTJu7mJ4J
147,"Bodak Yellow","Cardi B",6624,https://open.spotify.com/track/6KBYefIoo7KydImq1uUQlL
