,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
124,"God's Plan",Drake,12526,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
125,Nonstop,Drake,12512,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
126,"Just Got Paid",Sigala,12377,https://open.spotify.com/track/5CpkVOosLFc83LbwqO6hnI
127,"What Lovers Do (feat. SZA)","Maroon 5",12260,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
128,Familiar,"Liam Payne",12227,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
129,Taj,BLR,12200,https://open.spotify.com/track/400QEuv1HXJcm7gGSya4fn
130,Anywhere,"Rita Ora",12162,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
131,Blöff,AK26,12076,https://open.spotify.com/track/15h0TVG4qO6eutqjHQXb08
132,Africa,TOTO,12040,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
133,Breathe,"Jax Jones",12018,https://open.spotify.com/track/0KsB4TwgATg88aXCMBoO3Y
134,Happier,"Ed Sheeran",11976,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
135,Silence,Marshmello,11843,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
136,"There's No Way (feat. Julia Michaels)",Lauv,11803,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
137,"Sick Boy","The Chainsmokers",11769,https://open.spotify.com/track/2SxsI73qXm0rJ89Kp5JnpT
138,"There's Nothing Holdin' Me Back","Shawn Mendes",11709,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
139,"Side Effects (feat. Emily Warren)","The Chainsmokers",11636,https://open.spotify.com/track/5hrXLJJrnKraxRQntH0Vv9
140,"Right Now","Nick Jonas",11613,https://open.spotify.com/track/43wzy7JxMEfvCh8ZFeZKYk
141,PestiEst,Krúbi,11568,https://open.spotify.com/track/4aSDknafFjICMMpN05Ocot
142,Numb,"Linkin Park",11457,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
143,"8 Letters","Why Don't We",11385,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
144,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",11366,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
145,"Seven Nation Army","The White Stripes",11270,https://open.spotify.com/track/1jNOi6m3Hn8nLEeHCp5Msr
146,"'Till I Collapse",Eminem,11205,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
147,"Save That Shit","Lil Peep",11190,https://open.spotify.com/track/0S0vWvyZ6Rc79TXkWxT9QA
148,Pressure,Muse,11146,https://open.spotify.com/track/1pbyc2rbpwxZjCbKC2X7UV
